orig.order,row,studyName,site,Event,Event1,Event2,Driver,PressPulse,EventPred,PredictionOld,Prediction,EventDate1,EventDate2,Lat,Long,nSiteReps,Climate,notes,Protection,SiteLengthKM,SQMextra,Depth_m
141,20,Svensson,C1_9m,no,NA,NA,None,None,NA,neutral,none,NA,NA,12.643,109.4,1,tropical,,2_unprotected,NA,NA,
144,21,Svensson,C2_3m,no,NA,NA,None,None,NA,neutral,none,NA,NA,12.646,109.398,1,tropical,,2_unprotected,NA,NA,
143,22,Svensson,C2_9m,no,NA,NA,None,None,NA,neutral,none,NA,NA,12.645,109.398,1,tropical,,2_unprotected,NA,NA,
148,194,Svensson,WIB_3m,yes,MPA,NA,Fishing closure,Press,positive,positive,positive,36892,NA,12.653,109.395,1,tropical,,1_protected,NA,NA,
147,195,Svensson,WIB_9m,yes,MPA,NA,Fishing closure,Press,positive,positive,positive,36892,NA,12.654,109.393,1,tropical,,1_protected,NA,NA,
146,196,Svensson,WIBP_3m,yes,MPA,NA,Fishing closure,Press,positive,positive,positive,38565,NA,12.656,109.396,1,tropical,,1_protected,NA,NA,
145,197,Svensson,WIBP_9m,yes,MPA,NA,Fishing closure,Press,positive,positive,positive,38565,NA,12.655,109.395,1,tropical,,1_protected,NA,NA,
81,147,SwedFishTrap,recipient,yes,NuclearPlant,NuclearPlant,Warming (local) from nuclear plant,Press,neutral,neutral,neutral,27395,29587,57.252,12.077,1,temperate,,2_unprotected,NA,NA,
82,148,SwedFishTrap,referens,no,NA,NA,None,None,NA,neutral,none,NA,NA,57.226,12.09,1,temperate,,2_unprotected,NA,NA,
83,185,SwedFishTrawl,Usto,no,NA,NA,None,None,NA,neutral,none,NA,NA,57.289,12.05,1,temperate,,2_unprotected,NA,NA,
84,186,SwedFishTrawl,Varo,yes,PulpMill,NA,Warming (local) from pulp mill,Press,neutral,neutral,neutral,26665,NA,57.199,12.074,1,temperate,,2_unprotected,NA,NA,
85,109,SwedMacro,Kvado_deep,no,NA,NA,None,None,NA,neutral,none,NA,NA,57.815,16.891,1,temperate,,2_unprotected,NA,NA,
86,110,SwedMacro,Kvado_shall,no,NA,NA,None,None,NA,neutral,none,NA,NA,57.815,16.891,1,temperate,,2_unprotected,NA,NA,
87,165,SwedMacro,Simp_deep,yes,NuclearPlant,NA,Warming (local) from nuclear plant,Press,neutral,neutral,neutral,27395,29587,57.408,16.779,1,temperate,,2_unprotected,NA,NA,
88,166,SwedMacro,Simp_shall,yes,NuclearPlant,NuclearPlant,Warming (local) from nuclear plant,Press,neutral,neutral,neutral,27395,29587,57.408,16.779,1,temperate,,2_unprotected,NA,NA,
149,13,Touzri,Bay,no,NA,NA,None,None,NA,neutral,none,NA,NA,37.286,9.92,7,subtropical,,2_unprotected,NA,NA,
150,111,Touzri,Lagoon,no,NA,NA,None,None,NA,neutral,none,NA,NA,37.188,9.855,7,subtropical,,3_estuary,NA,NA,
151,126,Valdes,neritic,no,NA,NA,None,None,NA,neutral,none,NA,NA,43.567,-3.783,1,temperate,,2_unprotected,NA,NA,
152,133,Valdes,oceanic,no,NA,NA,None,None,NA,neutral,none,NA,NA,43.7,-3.783,1,temperate,,2_unprotected,NA,NA,
153,51,Warwick,far146,no,NA,NA,None,None,NA,neutral,none,NA,NA,54.673,-1.118,12,temperate,,3_estuary,NA,NA,
156,68,Warwick,inner,yes,PollutionCessation,NA,Pollution cessation,Press,positive,positive,positive,31048,35431,54.6,-1.171,8,temperate,,4_urban,NA,NA,
154,124,Warwick,near23,yes,PollutionCessation,NA,Pollution cessation,Press,positive,positive,positive,31048,35431,54.657,-1.148,6,temperate,,3_estuary,NA,NA,
155,137,Warwick,outer,yes,PollutionCessation,NA,Pollution cessation,Press,positive,positive,positive,31048,35431,54.631,-1.16,4,temperate,,4_urban,NA,NA,
165,38,Whomersley,D,yes,Pollution,NA,Pollution,Press,negative,negative,negative,29952,NA,53.57,-3.332,1,temperate,,2_unprotected,NA,NA,
166,151,Whomersley,Rn,no,NA,NA,None,None,NA,neutral,none,NA,NA,53.57,-3.332,1,temperate,,2_unprotected,NA,NA,
167,153,Whomersley,Rs,no,NA,NA,None,None,NA,neutral,none,NA,NA,53.57,-3.332,1,temperate,,2_unprotected,NA,NA,
157,183,Yildiz,Trabzon,no,NA,NA,None,None,NA,neutral,none,NA,NA,41.188,40.238,1,temperate,,3_estuary,NA,NA,
