studyName,ReferencePI,Source,Reference_dunic,FigsTables,PubGrayRaw,Peer,Collector,DataThief,SysOrig,Sys,Sys_dunic,Lat,Long,Loc,Event,Event1,Event2,Notes
Shimanaga,Shimanaga.etal.2004,Marine Biology 144:1097-1110,"Shimanaga, 2004",Table 3,Pub,Published,RE,No,soft bottom subtidal,softBottom,subtidal mudflat,35,139.35,"Sagami Bay, Japan",No,NA,NA,ES50 used to standardize for abundance; thatês why there is a zero in RawS column
Somerfield,Somerfield.etal.2008,Coral Reefs 27:951-965,"Somerfield, 2008",Figure 2,Pub,Published,PK,Yes,coral reef,coralReef,coral reef,24.814,-80.737,"Florida Keys, Florida, USA",No,NA,NA,
Sonnewald,Sonnewald.Turkay.2012,Helgoland Marine Research 66:63-75,"Sonnewald, 2012",Figure 2,Pub,Published,RE,Yes,soft bottom subtidal,softBottom,subtidal mudflat,55,2.5,"Dogger Bank, North Sea",No,NA,NA,
Svensson,Svensson.etal.2009,AMBIO 38:72-78,"Svensson, 2009",Figure 3,Pub,Published,RE,Yes,coral reef,coralReef,coral reef,12.65,109.392,"Hon Ong, Vietnam",Yes,MPA,NA,
Touzri,Touzri.etal.2012,Marine Ecology 33:393-406,"Touzri, 2012","Figure 5, 6",Pub,Published,PK,Yes,pelagic,pelagic,pelagic,37.15,9.55,"Bizerte, Tunisia",No,NA,NA,
Valdes,Valdes.Moral.1998,ICES Journal of Marine Science 55:783-792,"Valdes, 1998","Figure 4, 5",Pub,Published,RE,Yes,pelagic,pelagic,pelagic,43.6,-3.783,"Bay of Biscay, Spain",No,NA,NA,"Standardized to sampling volume, but not abundance"
Warwick,Warwick.etal.2002,Marine Ecology Progress Series 234:1-13,"Warwick, 2002","Figure 9, 11, 12",Pub,Published,RE,Yes,soft bottom subtidal,softBottom,subtidal mudflat,54.647,-1.153,"Tees Bay, United Kingdom",Yes,PollutionCessation,NA,
Yildiz,Yildiz.Feyzioglu.2014,Turkish Journal of Zoology 38:179-190,"Yildiz, 2014",Table 1,Pub,Published,PK,No,pelagic,pelagic,pelagic,41.188,40.238,"Trabzon, Black Sea",No,NA,NA,
KelmoForam,Kelmo.Hallock.2013,Ecological Indicators 30:148-157,"Kelmo, 2013a",Figure 2A,Pub,Published,RE,Yes,soft bottom subtidal,softBottom,subtidal mudflat,-12.64,-38.04,"Bahia, Brasil",Yes,ElNino98,NA,
KelmoSponge,Kelma.etal.2013,PLOS One 8(10)e76441,"Kelmo, 2013b",Figure 3,Pub,Published,RE,Yes,coral reef,coralReef,coral reef,-12.64,-38.04,"Bahia, Brasil",Yes,ElNino98,NA,
KelmoInv,Kelma.etal.2014,PLOS One 9(3)e93209,"Kelmo, 2014",Figure 1a,Pub,Published,RE,Yes,coral reef,coralReef,coral reef,-12.64,-38.04,"Bahia, Brasil",Yes,ElNino98,NA,
Whomersley,Whomersley.etal.2008,ICES Journal of Marine Science 65:1414-1420,"Whomersley, 2008",Figure 2,Pub,Published,AH,Yes,soft bottom subtidal,softBottom,subtidal mudflat,53.57,-3.332,"Liverpool Bay, UK",Yes,Pollution,NA,
Cardoso,Cardoso.etal.2008,"Estuarine, Coastal and Shelf Science 76:553-565","Cardoso, 2008","Figure 3, 5",Pub,Published,RE,Yes,seagrass,macrophyte,seagrass,40.129,-8.845,"Mondego Estuary, Portugal",Yes,Eutrophication,NA,
Birkeland,Elahi.etal.2013,"C Birkeland, personal communication","Birkeland, 2013",NA,Raw,Unpublished,RE,No,hard bottom subtidal,hardBottom,rocky subtidal,48.551,-123.005,"San Juan Island, Washington, United States",No,NA,NA,
Edmunds,Edmunds.2013,"P Edmunds, personal communication","Edmunds, 2013",NA,Raw,Unpublished,RE,No,coral reef,hardBottom,coral reef,18.31,-64.73,"Lameshur Bay, St. John, US Virgin Islands",No,NA,NA,
Elahi,Elahi.etal.2013,Personal data,"Elahi, 2013",NA,Raw,Unpublished,RE,No,hard bottom subtidal,hardBottom,rocky subtidal,48.58,-123.03,"San Juan Islands, Washington, United States",No,NA,NA,
Goodwin,Douglass.etal.2010,"J Lefcheck, personal communication","Duffy, 2013",NA,Gray,Unpublished,MIO,No,seagrass,macrophyte,seagrass,37.2225,-76.385,"Goodwin Islands National Estuarine Research Reserve, Chesapeake Bay, Virigina, United States",No,NA,NA,
IMOS,IMOS National Reference Station Network,https://imos.aodn.org.au,"IMOS, 2015",NA,Raw,Unpublished,RE,No,pelagic,pelagic,pelagic,-26.32,132.97,Australia (9 stations spanning the coast),No,NA,NA,
KFMP,Kushner.etal.2013,http://www.esapubs.org/archive/ecol/E094/245/,"Kushner, 2013",NA,Raw,Unpublished,RE,No,hard bottom subtidal,hardBottom,rocky subtidal,34.06,-120.01,"Channel Islands, California, United States",Yes,MPA,NA,"Species lists may have changed through time due to improvements in taxonomy, and observers may have gotten better through time - remove first three (?) of data"
SBC,Reed,https://sbc.lternet.edu,"SBC-LTER, 2015",NA,Raw,Unpublished,RE,No,hard bottom subtidal,hardBottom,rocky subtidal,34.39,-119.7,"Santa Barbara, California, United States",No,NA,NA,
Sebens,Sebens,"K Sebens, personal communication","Sebens, 2013",NA,Raw,Unpublished,RE,No,hard bottom subtidal,hardBottom,rocky subtidal,42.415,-70.905,"Northwest Atlantic, USA",No,NA,NA,
Beldade,Beldade.etal.2006,J Mar Biol Ass UK 86:1221-1228,"Beldade, 2006",Table 2,Pub,Published,RE,No,hard bottom subtidal,hardBottom,rocky subtidal,38.457,-9.002,"Eastern Atlantic, Portugal",No,NA,NA,
Birchenough,Birchenough.Frid.2009,Journal of Sea Research 62:258-267,"Birchenough, 2009",Figure 2,Pub,Published,MH,Yes,soft bottom subtidal,softBottom,subtidal mudflat,55.033,-1.35,"Northumberland coast, UK",Yes,PollutionCessation,NA,"18 years of sewage sludge disposal ended, and the monitoring began 3 months after cessation"
Bollens,Bollens.etal.2011,Journal of Plankton Research 33:1358-1377,"Bollens, 2011",Figure 2,Pub,Published,RE,Yes,pelagic,pelagic,pelagic,37.833,-122.333,"San Francisco Bay, USA",No,NA,NA,
HernandezMiranda,Hernandez-Miranda.etal.2012,Marine Environmental Research 79:16-28,"Hernandez-Miranda, 2012",Figure 2,Pub,Published,RE,Yes,hard bottom subtidal,hardBottom,rocky subtidal,-36.535,-72.95,"Coliumo Bay, Chile",Yes,HypoxiaPulse,NA,
Hidalgo,Hidalgo.Escribano.2001,Hydrobiologia 453:153-160,"Hidalgo-Escribano, 2001",Figure 3,Pub,Published,RE,Yes,pelagic,pelagic,pelagic,-23.017,-70.442,"Mejillones Bay, Chile",Yes,ElNino98,NA,
Moreira,Moreira.etal.2010,Thalassas 26:9-22,"Moreira, 2010",Figure 3,Pub,Published,PK,Yes,soft bottom subtidal,softBottom,subtidal mudflat,42.12,-8.85,"Baiona Bay, Spain",No,NA,NA,
Occhipinti,Occhipinti-Ambrogi.etal.2002,Marine Ecology 23:307-319,"Occhipinti-Ambrogi, 2002","Figure 2,3",Pub,Published,RE,Yes,soft bottom subtidal,softBottom,subtidal mudflat,44.453,12.451,"Northern Adriatic Sea, Italy",No,NA,NA,
Deidun,Deidun.etal.2009,Journal of Coastal Research 56:410-414,"Deidun, 2009",Table 1,Pub,Published,RE,No,beach,softBottom,beach,35.999,14.344,"Mediterranean Sea, Malta",No,NA,NA,
Dupont,Dupont.etal.2010,Marine Ecology Progress Series 415:189-200,"Dupont, 2010",Figure 5,Pub,Published,RE,Yes,coral reef,hardBottom,coral reef,27.561,-83.006,"Gulf of Mexico, Florida, USA",Yes,RedTide,NA,
Shin,Shin.etal.2008,Marine Pollution Bulletin 56:282-296,"Shin, 2008",Figure 3,Pub,Published,RE,Yes,soft bottom subtidal,softBottom,subtidal mudflat,22.3,114.14,"Victoria Harbor, Hong Kong",No,NA,NA,
